Name,Ticker,Gross Expense Ratio,NAV,AUM,As of Date
SPDR® S&P® Aerospace & Defense ETF,XAR,0.35%,$124.06 ,"$1,439.13 M",Feb 22 2021
SPDR® S&P® Bank ETF,KBE,0.35%,$50.26 ,"$3,581.43 M",Feb 22 2021
SPDR® S&P® Biotech ETF,XBI,0.35%,$154.15 ,"$7,672.87 M",Feb 22 2021
SPDR® S&P® Capital Markets ETF,KCE,0.35%,$81.66 ,$69.41 M,Feb 22 2021
SPDR® S&P® Health Care Equipment ETF,XHE,0.35%,$123.00 ,$817.97 M,Feb 22 2021
SPDR® S&P® Health Care Services ETF,XHS,0.35%,$103.43 ,$138.59 M,Feb 22 2021
SPDR® S&P® Homebuilders ETF,XHB,0.35%,$63.47 ,"$1,361.38 M",Feb 22 2021
SPDR® S&P® Insurance ETF,KIE,0.35%,$35.39 ,$362.75 M,Feb 22 2021
SPDR® S&P® Internet ETF,XWEB,0.35%,$185.19 ,$81.48 M,Feb 22 2021
SPDR® S&P® Metals & Mining ETF,XME,0.35%,$38.34 ,"$1,316.96 M",Feb 22 2021
SPDR® S&P® Oil & Gas Equipment & Services ETF,XES,0.35%,$56.32 ,$172.61 M,Feb 22 2021
SPDR® S&P® Oil & Gas Exploration & Production ETF,XOP,0.35%,$79.93 ,"$3,105.34 M",Feb 22 2021
SPDR® S&P® Pharmaceuticals ETF,XPH,0.35%,$54.39 ,$291.01 M,Feb 22 2021
SPDR® S&P® Regional Banking ETF,KRE,0.35%,$65.12 ,"$3,692.24 M",Feb 22 2021
SPDR® S&P® Retail ETF,XRT,0.35%,$79.17 ,$688.78 M,Feb 22 2021
SPDR® S&P® Semiconductor ETF,XSD,0.35%,$190.09 ,"$1,035.97 M",Feb 22 2021
SPDR® S&P® Software & Services ETF,XSW,0.35%,$169.70 ,$532.86 M,Feb 22 2021
SPDR® S&P® Telecom ETF,XTL,0.35%,$94.49 ,$73.23 M,Feb 22 2021
SPDR® S&P® Transportation ETF,XTN,0.35%,$81.43 ,$542.30 M,Feb 22 2021
,,,,,
,,,,,
